Sender_Country;Country_risk;Bene_Country;Country_risk2
SOUTH-GEORGIA-AND-THE-SOUTH-SANDWICH-ISLANDS;High;SOUTH-GEORGIA-AND-THE-SOUTH-SANDWICH-ISLANDS;High
SOUTH-KOREA;Low;SOUTH-KOREA;Low
SOUTH-SUDAN;High;SOUTH-SUDAN;High
SPAIN;Low;SPAIN;Low
SRI-LANKA;High;SRI-LANKA;High
ST-PIERRE-MIQUELON;High;ST-PIERRE-MIQUELON;High
ST-VINCENT-GRENADINES;High;ST-VINCENT-GRENADINES;High
SUDAN;High;SUDAN;High
SURINAME;High;SURINAME;High
SVALBARD;High;SVALBARD;High
SWAZILAND;High;SWAZILAND;High
SWEDEN;Low;SWEDEN;Low
SWITZERLAND;Low;SWITZERLAND;Low
SYRIA;High;SYRIA;High
TAIWAN;Medium;TAIWAN;Medium
TAJIKISTAN;High;TAJIKISTAN;High
TANZANIA;High;TANZANIA;High
THAILAND;High;THAILAND;High
TIMOR-LESTE;High;TIMOR-LESTE;High
TOGO;High;TOGO;High
TOKELAU;High;TOKELAU;High
TRINIDAD-AND-TOBAGO;High;TRINIDAD-AND-TOBAGO;High
TUNISIA;High;TUNISIA;High
TURKEY;High;TURKEY;High
TURKMENISTAN;High;TURKMENISTAN;High
TURKS-AND-CAICOS-IS;High;TURKS-AND-CAICOS-IS;High
TUVALU;High;TUVALU;High
UGANDA;High;UGANDA;High
UKRAINE;High;UKRAINE;High
UNITED-ARAB-EMIRATES;Medium;UNITED-ARAB-EMIRATES;Medium
UNITED-KINGDOM;Low;UNITED-KINGDOM;Low
UNITED-STATES;Low;UNITED-STATES;Low
URUGUAY;High;URUGUAY;High
USA;Low;USA;Low
UZBEKISTAN;High;UZBEKISTAN;High
VANUATU;High;VANUATU;High
VATICAN-CITY;High;VATICAN-CITY;High
VENEZUELA;High;VENEZUELA;High
VIETNAM;High;VIETNAM;High
VIRGIN-ISLANDS-BRITISH;High;VIRGIN-ISLANDS-BRITISH;High
VIRGIN-ISLANDS-US;High;VIRGIN-ISLANDS-US;High
WALLIS-FUTUNA-IS;High;WALLIS-FUTUNA-IS;High
WESTERN-SAHARA;High;WESTERN-SAHARA;High
YEMEN;High;YEMEN;High
ZAMBIA;High;ZAMBIA;High
ZIMBABWE;High;ZIMBABWE;High
BULGARIA;Medium;BULGARIA;Medium
CYPRUS;Low;CYPRUS;Low
MACEDONIA;Medium;MACEDONIA;Medium
BRUNEI;High;BRUNEI;High
TONGA;High;TONGA;High
ANTARCTICA;High;ANTARCTICA;High
SAINT-MARTIN;High;SAINT-MARTIN;High
ALAND-ISLANDS;High;ALAND-ISLANDS;High
BOUVET-ISLAND;Medium;BOUVET-ISLAND;Medium
CHRISTMAS-ISLAND;High;CHRISTMAS-ISLAND;High
COCOS-KEELING-IS;High;COCOS-KEELING-IS;High
FRENCH-SOUTHERN-TERRITORIES;High;FRENCH-SOUTHERN-TERRITORIES;High
HEARD-ISLAND-AND-MCDONALD-ISLANDS;High;HEARD-ISLAND-AND-MCDONALD-ISLANDS;High
MINOR-OUTLYING-ISLANDS;High;MINOR-OUTLYING-ISLANDS;High
N-MARIANA-IS;High;N-MARIANA-IS;High
FEDERATION;High;FEDERATION;High
